sample_id,precision,recall,rwp
202,0.0,0.0,1.0000000070493578
203,0.0,0.0,1.0000000017919255
204,0.0,0.0,0.9999999847575196
205,0.0,0.0,0.999999927265631
206,0.0,0.0,1.000000028133802
207,0.0,0.0,1.0000000186613596
208,0.0,0.0,0.9999999766759902
209,0.0,0.0,1.0000000263834123
210,0.0,0.0,0.9999999971867066
211,0.0,0.0,1.0000000411640542
212,0.0,0.0,0.99999999029323
213,0.0,0.0,1.0000000332059868
214,0.0,0.0,1.0000000040672063
215,0.0,0.0,1.0000000075481879
216,0.0,0.0,1.0000000356718144
217,0.0,0.0,1.0000000017218598
218,0.0,0.0,0.4914633476086135
219,0.0,0.0,1.0000000384506122
220,0.0,0.0,0.999999974083304
221,0.0,0.0,0.999999974306527
222,0.0,0.0,1.0000000310327002
223,0.0,0.0,0.9999999898079942
224,0.0,0.0,0.9999999920644608
225,0.0,0.0,0.9999999573665889
226,0.0,0.0,0.9999999793787617
227,0.0,0.0,1.0000000230588941
228,0.0,0.0,0.9999999972385585
229,0.0,0.0,0.9999999959718988
230,0.0,0.0,1.0000000145756112
231,0.0,0.0,1.0000000258554946
232,0.0,0.0,0.9999999740191109
233,0.0,0.0,0.9999999970763127
234,0.0,0.0,0.9999999984039625
235,0.0,0.0,1.0000000014086523
236,0.0,0.0,1.000000043899843
237,0.0,0.0,0.9999999972610372
238,0.0,0.0,1.0000000038704981
239,0.0,0.0,0.9999999878521818
240,0.0,0.0,0.999999974666371
241,0.0,0.0,0.9999999616751473
242,0.0,0.0,0.9999999780822244
243,0.0,0.0,0.9999999735829493
244,0.0,0.0,0.9999999818364973
245,0.0,0.0,1.0000000189870288
246,0.0,0.0,1.0000000023136761
247,0.0,0.0,0.9999999893481044
248,0.0,0.0,0.9999999751727662
249,0.0,0.0,1.000000039456849
250,0.0,0.0,0.999999969924553
251,0.0,0.0,1.0000000047580342
252,0.0,0.0,0.9999999914812636
253,0.0,0.0,1.0000000303250347
254,0.0,0.0,1.000000049737963
255,0.0,0.0,0.999999936047734
256,0.0,0.0,0.9999999936416843
257,0.0,0.0,1.000000014826796
258,0.0,0.0,1.0000000540439404
259,0.0,0.0,1.0000000558608746
260,0.0,0.0,1.0000000279537842
261,0.0,0.0,0.9999999934898463
262,0.0,0.0,0.9999999837096112
263,0.0,0.0,0.9999999982887776
264,0.0,0.0,1.000000008062671
265,0.0,0.0,0.999999986680209
266,0.0,0.0,1.0000000310014598
267,0.0,0.0,1.0000000053231437
268,0.0,0.0,0.9999999941755066
269,0.0,0.0,1.000000004768509
270,0.0,0.0,1.0000000227965893
271,0.0,0.0,0.9999999673679197
272,0.0,0.0,1.0000000255499506
273,0.0,0.0,1.0000000141433834
274,0.0,0.0,1.0000000148658934
275,0.0,0.0,1.000000013400507
276,0.0,0.0,0.4723689571590376
277,0.0,0.0,0.999999981634526
278,0.0,0.0,0.999999983454931
279,0.0,0.0,0.9999999970500975
280,0.0,0.0,1.00000002451892
281,0.0,0.0,1.000000007435328
282,0.0,0.0,1.000000041517092
283,0.0,0.0,1.0000000155011426
284,0.0,0.0,0.9999999832347891
285,0.0,0.0,0.9999999927433095
286,0.0,0.0,0.9999999847852576
287,0.0,0.0,1.00000003191762
288,0.0,0.0,1.0000000274954581
289,0.0,0.0,1.0000000065162546
290,0.0,0.0,0.9999999982862555
291,0.0,0.0,1.0000000130824678
292,0.0,0.0,1.000000018180618
293,0.0,0.0,1.0000000219978493
294,0.0,0.0,0.9999999727866709
295,0.0,0.0,0.9999999661240458
296,0.0,0.0,1.0000000072509223
297,0.0,0.0,0.9999999656108514
298,0.0,0.0,1.0000000010657035
299,0.0,0.0,1.000000004875316
300,0.0,0.0,1.000000042402933
301,0.0,0.0,1.0000000497205928
302,0.0,0.0,0.9999999990619954
303,0.0,0.0,1.00000000827943
304,0.0,0.0,1.0000000340632582
305,0.0,0.0,0.9999999925754642
306,0.0,0.0,1.0000000202605452
307,0.0,0.0,0.9999999469559291
308,0.0,0.0,0.9999999929635526
309,0.0,0.0,1.0000000187428082
310,0.0,0.0,0.9999999821348429
311,0.0,0.0,1.0000000057339773
